track_name,rating_count_tot
Facebook,2974676
Instagram,2161558
Clash of Clans,2130805
Temple Run,1724546
Pandora - Music & Radio,1126879
Pinterest,1061624
Bible,985920
Candy Crush Saga,961794
Spotify Music,878563
Angry Birds,824451
Subway Surfers,706110
Fruit Ninja Classic,698516
Solitaire,679055
CSR Racing,677247
Crossy Road - Endless Arcade Hopper,669079
Injustice: Gods Among Us,612532
Hay Day,567344
Clear Vision (17+),541693
Minecraft: Pocket Edition,522012
PAC-MAN,508808
Calorie Counter & Diet Tracker by MyFitnessPal,507706
DragonVale,503230
"The Weather Channel: Forecast, Radar & Alerts",495626
Head Soccer,481564
Google – Search made just for mobile,479440
Despicable Me: Minion Rush,464312
The Sims™ FreePlay,446880
Google Earth,446185
Plants vs. Zombies,426463
Sonic Dash,418033
"Groupon - Deals, Coupons & Discount Shopping App",417779
8 Ball Pool™,416736
Tiny Tower - Free City Building,414803
Jetpack Joyride,405647
Bike Race - Top Motorcycle Racing Games,405007
"Shazam - Discover music, artists, videos & lyrics",402925
Kim Kardashian: Hollywood,397730
Doodle Jump,395261
Trivia Crack,393469
WordBrain,391401
Sniper 3D Assassin: Shoot to Kill Gun Game,386521
Flow Free,373857
Lose It! – Weight Loss Program and Calorie Counter,373835
Skype for iPhone,373519
Geometry Dash Lite,370370
Draw Something,360974
▻Sudoku,359832
Twitter,354058
Messenger,351466
"Waze - GPS Navigation, Maps & Real-time Traffic",345046
