track_name,rating_count_tot,prime_genre,price
Facebook,2974676,Social Networking,0.0
Instagram,2161558,Photo & Video,0.0
Clash of Clans,2130805,Games,0.0
Temple Run,1724546,Games,0.0
Pandora - Music & Radio,1126879,Music,0.0
Pinterest,1061624,Social Networking,0.0
Bible,985920,Reference,0.0
Candy Crush Saga,961794,Games,0.0
Spotify Music,878563,Music,0.0
Angry Birds,824451,Games,0.0
Subway Surfers,706110,Games,0.0
Fruit Ninja Classic,698516,Games,1.99
Solitaire,679055,Games,0.0
CSR Racing,677247,Games,0.0
Crossy Road - Endless Arcade Hopper,669079,Games,0.0
Injustice: Gods Among Us,612532,Games,0.0
Hay Day,567344,Games,0.0
Clear Vision (17+),541693,Games,0.99
Minecraft: Pocket Edition,522012,Games,6.99
PAC-MAN,508808,Games,0.0
